"Name","City","Neighborhood","Delivery Min","Delivery Fee","Rating","Reviews"
"Pagano's Steaks & Shakes","philadelphia","castor","$10","$2","60","13"
"Mario's Pizza","philadelphia","cedarbrook-stenton","$10","$2","70","36"
"Panda Garden","philadelphia","cedarbrook-stenton","$10","$1.5","80","28"
"Thai Kuu","philadelphia","cedarbrook-stenton","$25","$2","70","110"
"Totos Pizzeria","philadelphia","cedarbrook-stenton","$10","$2","60","98"
"Tiffin","philadelphia","cedarbrook-stenton","$15","","60","140"
"Takka Grill & Shrimpies","philadelphia","cedarbrook-stenton","","$2","60","15"
"Chatkharay Indian & Pakistani","philadelphia","cedarbrook-stenton","$25","$2","50","43"
"Golden Crust Pizza","philadelphia","cedarbrook-stenton","$10","$2.5","50","31"
"Kingston City Restaurant","philadelphia","cedarbrook-stenton","$10","$2","50","20"
"Papa John's Pizza","philadelphia","cedarbrook-stenton","$10","$2.99","50","24"
"Action Pizza","philadelphia","cedarbrook-stenton","$7","$1.5","40","4"
"Queen Express Pizza","philadelphia","cedarbrook-stenton","$10","$2","40","6"
"Takka Grill","philadelphia","cedarbrook-stenton","$8","$2","30","7"
"Mr. Hook Fish & Chicken","philadelphia","cedarbrook-stenton","$10","$4","30","3"
"Halal Chicken Pizza 2","philadelphia","cedarbrook-stenton","$10","$3","20","1"
"Saladworks","philadelphia","cedarbrook-stenton","","at","80","21"
"Uptown BBQ & Grill","philadelphia","cedarbrook-stenton","","miles","60","16"
"Bilal's Garden","philadelphia","cedarbrook-stenton","","miles","60","9"
"Giovani's Falafel Bar & Grill","philadelphia","cedar-grove","$10","","80","85"
"Eatalia","philadelphia","cedar-grove","$10","$1","80","124"
"Steak & Shake","philadelphia","cedar-grove","$10","$1.5","80","29"
"Tandoor India- Fishtown","philadelphia","cedar-grove","$15","","80","120"
"Suzani Restaurant","philadelphia","cedar-grove","$20","","80","46"
"Philly's Seafood","philadelphia","cedar-grove","$10","$2","80","17"
"Four Seasons Diner","philadelphia","cedar-grove","$5","$2","70","116"
"Rich City Chinese Restaurant","philadelphia","cedar-grove","$10","$1","70","99"
"Big Ben Pizza","philadelphia","cedar-grove","$10","$1.5","60","31"
"New London Pizza","philadelphia","cedar-grove","$15","$1.25","70","18"
"Dragon Phoenix House","philadelphia","cedar-grove","$15","$2.5","70","24"
"Ribs R Us","philadelphia","cedar-grove","$12","$3","70","56"
"Classic Pizza","philadelphia","cedar-grove","$7","$1.5","70","12"
"Moju's Family Pizzeria","philadelphia","cedar-grove","$10","$2","80","12"
"Takka Grill & Shrimpies","philadelphia","cedar-grove","","$2","60","15"
"Pizza Bolis","philadelphia","cedar-grove","$10","$2","80","4"
"Chatkharay Indian & Pakistani","philadelphia","cedar-grove","$25","$2","50","43"
"Ozzy's Pizza Shop II","philadelphia","cedar-grove","$7","$2","70","11"
"Mojo's Pizza & Chicken","philadelphia","cedar-grove","$10","$1.5","60","19"
"Pagano's Steaks & Shakes","philadelphia","cedar-grove","$10","$2","60","13"
"Zesto Pizza & Grill","philadelphia","cedar-park","$10","$3","80","82"
"Giovani's Falafel Bar & Grill","philadelphia","cedar-park","$10","","80","85"
"Indian Cuisine","philadelphia","cedar-park","$15","","80","86"
"Guacamole Mex Grill","philadelphia","cedar-park","$12","$2","80","110"
"Best China Inn","philadelphia","cedar-park","$10","$2","70","67"
"Fiesta Pizza","philadelphia","cedar-park","$8","$2","70","47"
"Ever Green","philadelphia","cedar-park","$10","$1","70","63"
"Lemon Grass Thai Restaurant","philadelphia","cedar-park","$20","$2","70","175"
